particle,kinetic_energy_mev,angle_deg,threshold_mip,threshold_mev,events,successes,response_probability,wilson95_low,wilson95_high,include_steel
e+,1000.0,40.0,1.0,3.57852,3000,2957,0.9856666666666667,0.98074985475262,0.9893412901855135,True
e+,3000.0,40.0,1.0,3.57852,3000,2957,0.9856666666666667,0.98074985475262,0.9893412901855135,True
e+,10000.0,40.0,1.0,3.57852,3000,2954,0.9846666666666667,0.979609226580359,0.988484476055225,True
e+,0.5,60.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,60.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,60.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,60.0,1.0,3.57852,3000,1899,0.633,0.6155927568640437,0.6500670693750196,True
e+,30.0,60.0,1.0,3.57852,3000,2778,0.926,0.9160781839571981,0.9348322369288242,True
e+,100.0,60.0,1.0,3.57852,3000,2941,0.9803333333333333,0.9747157214293537,0.984722397895183,True
e+,300.0,60.0,1.0,3.57852,3000,2982,0.994,0.9905352002893365,0.9962012971700415,True
e+,1000.0,60.0,1.0,3.57852,3000,2994,0.998,0.9956431969391587,0.9990830697304166,True
e+,3000.0,60.0,1.0,3.57852,3000,2995,0.9983333333333333,0.9961041847113639,0.9992878960590612,True
e+,10000.0,60.0,1.0,3.57852,3000,2993,0.9976666666666667,0.9951911846593626,0.9988692679093629,True
e+,0.5,70.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,70.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,70.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,70.0,1.0,3.57852,3000,1341,0.447,0.42928788895880854,0.464847669006076,True
e+,30.0,70.0,1.0,3.57852,3000,2554,0.8513333333333334,0.8381537829459947,0.8636142793496763,True
e+,100.0,70.0,1.0,3.57852,3000,2925,0.975,0.9687764150013717,0.9800086787095686,True
e+,300.0,70.0,1.0,3.57852,3000,2974,0.9913333333333333,0.9873312537039419,0.9940787309486377,True
